# Pillar state on the dev database, 2026-08-21 — what the plan was written
# against and what `from` is checked against at write time.
# slug	index	tagPl	tagEn	current media (comma separated)
a1-karting	0	#TWÓJTORDO	#YOURTRACKTO	a1-karting-gallery-1-cut.webp
a1-karting	1	#HUMOR	#HUMOR	a1-karting-gallery-2-cut.webp
a1-karting	2	#EDUKACJA	#EDUCATION	a1-karting-gallery-3-cut.webp,a1-karting-gallery-4-cut.webp
a1-karting	3	#DOŚWIADCZENIA	#EXPERIENCES	a1-karting-gallery-5-cut.webp,a1-karting-gallery-6-cut.webp
a1-karting	4	#VIDEO	#VIDEO	a1-karting-gallery-7-cut.webp
ariadna	0	#WIDEO_REKLAMOWE	#AD_VIDEO	ariadna-gallery-1-cut.webp,ariadna-gallery-2.jpg,ariadna-gallery-3.jpg
ariadna	1	#KAMPANIA	#CAMPAIGN	ariadna-gallery-4-cut.webp
ariadna	2	#INFLUENCERKA	#INFLUENCER	ariadna-gallery-5.jpg
ariadna	3	#OBSERWUJACY	#FOLLOWERS	ariadna-gallery-6-cut.webp,ariadna-gallery-9-cut.webp
ariadna	4	#WYNIKI	#RESULTS	ariadna-gallery-10.jpg
asus	0	#YOUTUBE	#YOUTUBE	asus-gallery-1-cut.webp
asus	1	#FACEBOOK	#FACEBOOK	asus-gallery-3.jpg,asus-gallery-4-anon.jpg
asus	2	#ANIMACJE	#ANIMATION	asus-gallery-5-cut.webp
asus	3	#REELS	#REELS	asus-gallery-6-cut.webp
asus	4	#KARUZELE	#CAROUSELS	asus-gallery-7.jpg,asus-gallery-8.jpg
breville	0	#SPRZEDAŻ	#SALES	breville-gallery-1.jpg
breville	1	#EKSPERCKOŚĆ	#EXPERTISE	breville-gallery-2.jpg
breville	2	#KUCHNIADOBREGOSMAKU	#GOODTASTEKITCHEN	breville-gallery-3.jpg,breville-gallery-4.jpg,breville-gallery-5.jpg
breville	3	#ZAANGAŻOWANIE	#ENGAGEMENT	breville-gallery-6.jpg
dolina-charlotty	0	#POZNAJDOLINĘ	#DISCOVERDOLINA	dolina-charlotty-gallery-1-cut.webp
dolina-charlotty	1	#AUTENTYCZNOŚĆ	#AUTHENTICITY	dolina-charlotty-gallery-2-cut.webp
dolina-charlotty	2	#ZAUFANIE	#TRUST	dolina-charlotty-gallery-3-cut.webp
dolina-charlotty	3	#DOŚWIADCZENIA	#EXPERIENCES	dolina-charlotty-gallery-4-cut.webp
dolina-charlotty	4	#VIDEO	#VIDEO	dolina-charlotty-gallery-5-cut.webp,dolina-charlotty-gallery-6.jpg
dynamic-development	0	#TIKTOK	#TIKTOK	dynamic-development-gallery-1-cut.webp
dynamic-development	1	#MODERACJA	#MODERATION	
